Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bhutan,BTN,128669200.9,139174178.1,141439317.4,156704289.9,160423493.9,163288815.4,191218115.5,242742766.3,272298066.6,264798626.2,287765007.1,240294286.0,240233531.2,225973692.8,258954708.0,290490983.8,303408345.6,352229076.7,363458380.9,399311199.5,460733418.4,496110225.7,559345263.7,651935430.3,735348490.4,860391000.2,942879878.5,1255767964.0,1317517835.0,1331343798.0,1708880730.0,1977728659.0,1973387228.0,1943696952.0,2089079571.0,2187815803.0,2357504761.0,2591358009.0,2583335722.0,2735683570.0,2457604334.0,2768802960.0,2898227744.0
Botswana,BWA,1060889704.0,1073812830.0,1014945696.0,1172230397.0,1240822167.0,1114783343.0,1392602164.0,1965226890.0,2644554159.0,3083822112.0,3790636324.0,3942876703.0,4146464587.0,4160129175.0,4259259604.0,4730599122.0,4847757218.0,5020265627.0,4790481509.0,5484263347.0,5788329609.0,5489608300.0,5438863983.0,7511582173.0,8957467707.0,9918907108.0,9919158482.0,10567270656.0,10730829116.0,10118459242.0,12637273429.0,15110643612.0,13907464500.0,14271738933.0,15470088501.0,13530748845.0,15082637184.0,16105155857.0,17031943186.0,16725908149.0,14960251611.0,18750182235.0,20321150598.0
Central African Republic,CAF,797048198.5,694803622.9,748312390.8,658679332.7,637820670.3,864849836.3,1122265013.0,1200991978.0,1264899288.0,1233930281.0,1440711459.0,1377374987.0,1411917553.0,1278781262.0,851174356.8,1115389674.0,1007791127.0,937741513.0,967338389.7,999477510.7,916777282.7,932648604.8,996068144.9,1142315523.0,1272360517.0,1337894379.0,1461859762.0,1699811295.0,1993407888.0,2067381665.0,2142591540.0,2437982705.0,2510126512.0,1691544110.0,1894813389.0,1695825714.0,1825018145.0,2072349973.0,2220979146.0,2221301351.0,2326720900.0,2516498412.0,2382618615.0
Canada,CAN,275000000000.0,307000000000.0,315000000000.0,342000000000.0,357000000000.0,366000000000.0,379000000000.0,433000000000.0,509000000000.0,567000000000.0,596000000000.0,613000000000.0,594000000000.0,579000000000.0,580000000000.0,606000000000.0,631000000000.0,655000000000.0,634000000000.0,678000000000.0,745000000000.0,739000000000.0,761000000000.0,896000000000.0,1030000000000.0,1170000000000.0,1320000000000.0,1470000000000.0,1550000000000.0,1370000000000.0,1620000000000.0,1790000000000.0,1830000000000.0,1850000000000.0,1810000000000.0,1560000000000.0,1530000000000.0,1650000000000.0,1730000000000.0,1740000000000.0,1660000000000.0,2020000000000.0,2190000000000.0
Switzerland,CHE,123000000000.0,112000000000.0,115000000000.0,115000000000.0,109000000000.0,111000000000.0,159000000000.0,199000000000.0,216000000000.0,208000000000.0,266000000000.0,269000000000.0,280000000000.0,272000000000.0,301000000000.0,353000000000.0,340000000000.0,295000000000.0,303000000000.0,298000000000.0,279000000000.0,287000000000.0,309000000000.0,362000000000.0,404000000000.0,418000000000.0,442000000000.0,491000000000.0,567000000000.0,554000000000.0,599000000000.0,716000000000.0,686000000000.0,706000000000.0,727000000000.0,694000000000.0,688000000000.0,695000000000.0,726000000000.0,721000000000.0,742000000000.0,815000000000.0,829000000000.0
Chile,CHL,29586676576.0,35180322211.0,19710229067.0,20629678694.0,19974595028.0,17933557360.0,19197818085.0,22605488851.0,26174858614.0,30101767991.0,33428580448.0,38232330917.0,46538895686.0,49934943321.0,57438273591.0,73820425702.0,78584098984.0,85741415285.0,81990010704.0,75578685736.0,78339750721.0,71574739561.0,70264045939.0,76492579644.0,99075985774.0,122000000000.0,154000000000.0,172000000000.0,180000000000.0,172000000000.0,217000000000.0,251000000000.0,267000000000.0,277000000000.0,260000000000.0,242000000000.0,249000000000.0,276000000000.0,296000000000.0,278000000000.0,254000000000.0,315000000000.0,301000000000.0
China,CHN,191000000000.0,196000000000.0,205000000000.0,231000000000.0,260000000000.0,310000000000.0,301000000000.0,273000000000.0,313000000000.0,348000000000.0,362000000000.0,385000000000.0,429000000000.0,447000000000.0,567000000000.0,738000000000.0,869000000000.0,968000000000.0,1040000000000.0,1100000000000.0,1220000000000.0,1360000000000.0,1490000000000.0,1680000000000.0,1980000000000.0,2320000000000.0,2790000000000.0,3600000000000.0,4670000000000.0,5190000000000.0,6190000000000.0,7670000000000.0,8670000000000.0,9740000000000.0,10700000000000.0,11300000000000.0,11500000000000.0,12500000000000.0,14100000000000.0,14600000000000.0,15000000000000.0,18200000000000.0,18300000000000.0
Cote d'Ivoire,CIV,10175617609.0,8432589942.0,7567110849.0,6838184773.0,6841639247.0,6977650644.0,9158302100.0,10087654465.0,10255169806.0,9757410645.0,10795850583.0,10492628581.0,11152971274.0,11045760288.0,8313557510.0,11000146267.0,18071152831.0,18047558038.0,19619654756.0,18870992456.0,16577533892.0,16810537044.0,18054383321.0,21251754340.0,23510575681.0,24036918703.0,25281413263.0,28760090953.0,34078240293.0,33886813250.0,34936307980.0,36693710801.0,36302302877.0,42760235485.0,48843005614.0,45815005169.0,48407761037.0,52512343997.0,58522477787.0,60382894697.0,63027852805.0,72794636649.0,70922824824.0
Cameroon,CMR,6674569047.0,6610938617.0,6611255964.0,6870200010.0,7311938026.0,8544810498.0,11857056199.0,13049659981.0,12236057362.0,11012566195.0,12314482628.0,11840192296.0,12071775335.0,16181814713.0,8902446252.0,10864772471.0,11093538846.0,10789458433.0,11298144990.0,11565826465.0,10566579295.0,10953485349.0,12417251350.0,15970315035.0,18826214136.0,19509852207.0,20910512975.0,23928250433.0,27715142033.0,27932970317.0,27507501821.0,30630910495.0,30155062329.0,33728621180.0,36386544706.0,32210233020.0,33814337044.0,36098547033.0,39955552190.0,39667757528.0,40773241177.0,45011937347.0,44347206073.0
"Congo, Dem. Rep.",COD,14394927495.0,12537821038.0,13651667371.0,11006712650.0,7857729193.0,7195042616.0,8095367168.0,7661625473.0,8861299977.0,9021862775.0,9349764580.0,9625436873.0,8227343907.0,10706259937.0,5820382248.0,5643439376.0,5771456952.0,6090838693.0,6217805821.0,4711259427.0,19088046306.0,7438189100.0,8728038525.0,8937567060.0,10297483481.0,11964484466.0,14451901696.0,16737071816.0,19788515590.0,18648372553.0,21565721045.0,25839749199.0,29306235285.0,32679745048.0,35909040926.0,37917706497.0,37134801555.0,38019264795.0,47568210010.0,51775829877.0,48716961860.0,55328482784.0,65801547756.0
